owner,name,category,language,description,workflow_file,platforms
chromium,chromium,browser,C++,The Chromium browser project,linux-build.yml,"ubuntu-latest"
mozilla,gecko-dev,browser,C++,Firefox browser engine,ci.yml,"ubuntu-latest,macos-latest"
WebKit,WebKit,browser,C++,WebKit browser engine,build.yml,"ubuntu-latest,macos-latest"
v8,v8,compiler,C++,Google's JavaScript engine,ci.yml,"ubuntu-latest"
llvm,llvm-project,compiler,C++,The LLVM Compiler Infrastructure,ci.yml,"ubuntu-latest,macos-latest,windows-latest"
gcc-mirror,gcc,compiler,C,GNU Compiler Collection,ci.yml,"ubuntu-latest"
rust-lang,rust,compiler,Rust,Empowering everyone to build reliable and efficient software,ci.yml,"ubuntu-latest,macos-latest,windows-latest"
golang,go,compiler,Go,The Go programming language,test.yml,"ubuntu-latest,macos-latest,windows-latest"
dotnet,runtime,compiler,C#,.NET runtime and libraries,runtime.yml,"ubuntu-latest,macos-latest,windows-latest"
swift,swift,compiler,Swift,The Swift Programming Language,ci.yml,"ubuntu-latest,macos-latest"
ziglang,zig,compiler,Zig,General-purpose programming language and toolchain,ci.yml,"ubuntu-latest,macos-latest,windows-latest"
python,cpython,compiler,C,The Python programming language,build.yml,"ubuntu-latest,macos-latest,windows-latest"
JuliaLang,julia,compiler,Julia,The Julia Programming Language,ci.yml,"ubuntu-latest,macos-latest,windows-latest"
crystal-lang,crystal,compiler,Crystal,The Crystal Programming Language,ci.yml,"ubuntu-latest,macos-latest"
nim-lang,Nim,compiler,Nim,Nim programming language,ci.yml,"ubuntu-latest,macos-latest,windows-latest"
elixir-lang,elixir,compiler,Elixir,Elixir programming language,ci.yml,"ubuntu-latest,macos-latest,windows-latest"
AssemblyScript,assemblyscript,compiler,TypeScript,A TypeScript-like language for WebAssembly,test.yml,"ubuntu-latest"
postgres,postgres,database,C,PostgreSQL database,ci.yml,"ubuntu-latest"
MariaDB,server,database,C++,MariaDB server,ci.yml,"ubuntu-latest"
mongodb,mongo,database,C++,MongoDB document database,ci.yml,"ubuntu-latest"
redis,redis,database,C,Redis in-memory data store,ci.yml,"ubuntu-latest"
ClickHouse,ClickHouse,database,C++,ClickHouse database,build_check.yml,"ubuntu-latest"
cockroachdb,cockroach,database,Go,CockroachDB distributed SQL database,ci.yml,"ubuntu-latest,macos-latest"
elastic,elasticsearch,database,Java,Elasticsearch search engine,ci.yml,"ubuntu-latest"
tikv,tikv,database,Rust,Distributed transactional key-value database,ci.yml,"ubuntu-latest"
apache,arrow,database,C++,Apache Arrow columnar format,ci.yml,"ubuntu-latest,macos-latest"
torvalds,linux,kernel,C,Linux kernel source tree,ci.yml,"ubuntu-latest"
freebsd,freebsd-src,kernel,C,FreeBSD operating system,ci.yml,"ubuntu-latest"
openbsd,src,kernel,C,OpenBSD operating system source,ci.yml,"ubuntu-latest"
SerenityOS,serenity,os,C++,Serenity operating system,ci.yml,"ubuntu-latest"
redox-os,redox,os,Rust,Redox Unix-like Operating System,ci.yml,"ubuntu-latest"
pytorch,pytorch,ml,Python,Tensors and Dynamic neural networks with strong GPU acceleration,pull.yml,"ubuntu-latest,macos-latest,windows-latest"
tensorflow,tensorflow,ml,C++,An Open Source Machine Learning Framework,ci-build.yml,"ubuntu-latest,macos-latest,windows-latest"
ggerganov,llama.cpp,ml,C++,LLM inference in C/C++,build.yml,"ubuntu-latest,macos-latest,windows-latest"
google,jax,ml,Python,Composable transformations of Python+NumPy programs,ci-build.yml,"ubuntu-latest"
microsoft,onnxruntime,ml,C++,ONNX Runtime inference engine,ci.yml,"ubuntu-latest,macos-latest,windows-latest"
huggingface,transformers,ml,Python,State-of-the-art Machine Learning for PyTorch and TensorFlow,ci.yml,"ubuntu-latest"
facebookresearch,fairseq,ml,Python,Facebook AI Research Sequence-to-Sequence Toolkit,build.yml,"ubuntu-latest"
apache,mxnet,ml,C++,Apache MXNet deep learning framework,ci.yml,"ubuntu-latest"
opencv,opencv,ml,C++,Open Source Computer Vision Library,ci.yml,"ubuntu-latest,macos-latest,windows-latest"
apache,tvm,ml,C++,Open deep learning compiler stack,ci.yml,"ubuntu-latest"
nodejs,node,runtime,C++,Node.js JavaScript runtime,test.yml,"ubuntu-latest,macos-latest,windows-latest"
denoland,deno,runtime,Rust,Secure JavaScript and TypeScript runtime,ci.yml,"ubuntu-latest,macos-latest,windows-latest"
bun-sh,bun,runtime,Zig,Fast all-in-one JavaScript runtime,ci.yml,"ubuntu-latest,macos-latest"
JuliaLang,julia,runtime,C,Julia programming language runtime,ci.yml,"ubuntu-latest,macos-latest,windows-latest"
ruby,ruby,runtime,C,The Ruby Programming Language,check_misc.yml,"ubuntu-latest,macos-latest"
php,php-src,runtime,C,PHP interpreter,ci.yml,"ubuntu-latest,macos-latest,windows-latest"
neovim,neovim,devtools,C,Vim-fork focused on extensibility and usability,ci.yml,"ubuntu-latest,macos-latest,windows-latest"
git,git,devtools,C,Git version control system,main.yml,"ubuntu-latest,macos-latest,windows-latest"
microsoft,vscode,devtools,TypeScript,Visual Studio Code,ci.yml,"ubuntu-latest,macos-latest,windows-latest"
vim,vim,devtools,C,The official Vim repository,ci.yml,"ubuntu-latest,macos-latest"
CMake,CMake,devtools,C++,Cross-platform build system,ci.yml,"ubuntu-latest,macos-latest,windows-latest"
mesonbuild,meson,devtools,Python,The Meson Build System,ci.yml,"ubuntu-latest,macos-latest,windows-latest"
bazelbuild,bazel,devtools,Java,Build and test software of any size,ci.yml,"ubuntu-latest,macos-latest,windows-latest"
ninja-build,ninja,devtools,C++,Small build system with a focus on speed,ci.yml,"ubuntu-latest,macos-latest,windows-latest"
ccache,ccache,devtools,C++,Compiler cache for fast recompilation,ci.yml,"ubuntu-latest,macos-latest"
godotengine,godot,gameengine,C++,Godot Engine game development platform,ci.yml,"ubuntu-latest,macos-latest,windows-latest"
bevyengine,bevy,gameengine,Rust,Refreshingly simple data-driven game engine,ci.yml,"ubuntu-latest,macos-latest,windows-latest"
amethyst,amethyst,gameengine,Rust,Data-oriented game engine,ci.yml,"ubuntu-latest,macos-latest,windows-latest"
cocos,cocos-engine,gameengine,TypeScript,Cocos game engine,build.yml,"ubuntu-latest"
raysan5,raylib,gameengine,C,Simple and easy-to-use library to enjoy videogames programming,ci.yml,"ubuntu-latest,macos-latest,windows-latest"
kubernetes,kubernetes,infrastructure,Go,Production-Grade Container Orchestration,ci.yml,"ubuntu-latest"
docker,docker-ce,infrastructure,Go,Docker container platform,ci.yml,"ubuntu-latest"
containerd,containerd,infrastructure,Go,Industry-standard container runtime,ci.yml,"ubuntu-latest,macos-latest,windows-latest"
etcd-io,etcd,infrastructure,Go,Distributed reliable key-value store,tests.yml,"ubuntu-latest"
prometheus,prometheus,infrastructure,Go,Systems monitoring and alerting toolkit,ci.yml,"ubuntu-latest,macos-latest,windows-latest"
grafana,grafana,infrastructure,Go,Operational dashboards,ci.yml,"ubuntu-latest,macos-latest,windows-latest"
hashicorp,terraform,infrastructure,Go,Infrastructure as Code,ci.yml,"ubuntu-latest,macos-latest,windows-latest"
hashicorp,vault,infrastructure,Go,Secrets management and encryption,ci.yml,"ubuntu-latest,macos-latest,windows-latest"
envoyproxy,envoy,infrastructure,C++,Cloud-native high-performance proxy,ci.yml,"ubuntu-latest,macos-latest"
nginx,nginx,infrastructure,C,Nginx web server,ci.yml,"ubuntu-latest"
apache,httpd,infrastructure,C,Apache HTTP Server,ci.yml,"ubuntu-latest"
caddyserver,caddy,infrastructure,Go,Fast and extensible multi-platform HTTP server,ci.yml,"ubuntu-latest,macos-latest,windows-latest"
FFmpeg,FFmpeg,media,C,Complete solution to record convert and stream audio and video,build.yml,"ubuntu-latest,macos-latest,windows-latest"
ImageMagick,ImageMagick,media,C,ImageMagick image processing,ci.yml,"ubuntu-latest,macos-latest,windows-latest"
blender,blender,media,C++,Blender 3D creation suite,ci.yml,"ubuntu-latest,macos-latest,windows-latest"
libjpeg-turbo,libjpeg-turbo,media,C,JPEG image codec,ci.yml,"ubuntu-latest,macos-latest,windows-latest"
xiph,opus,media,C,Opus audio codec,ci.yml,"ubuntu-latest,macos-latest,windows-latest"
openssl,openssl,security,C,TLS/SSL and crypto library,ci.yml,"ubuntu-latest,macos-latest,windows-latest"
libressl,portable,security,C,LibreSSL Portable,ci.yml,"ubuntu-latest,macos-latest"
jedisct1,libsodium,security,C,Modern cryptography library,ci.yml,"ubuntu-latest,macos-latest,windows-latest"
bitcoin,bitcoin,crypto,C++,Bitcoin Core,ci.yml,"ubuntu-latest,macos-latest"
ethereum,go-ethereum,crypto,Go,Official Go implementation of Ethereum,ci.yml,"ubuntu-latest,macos-latest,windows-latest"
monero-project,monero,crypto,C++,Monero cryptocurrency,ci.yml,"ubuntu-latest,macos-latest"
zcash,zcash,crypto,C++,Zcash cryptocurrency,ci.yml,"ubuntu-latest"
ripple,rippled,crypto,C++,XRP Ledger peer-to-peer server,ci.yml,"ubuntu-latest,macos-latest"
curl,curl,networking,C,Command line tool for transferring data with URLs,ci.yml,"ubuntu-latest,macos-latest,windows-latest"
nghttp2,nghttp2,networking,C,HTTP/2 C Library,ci.yml,"ubuntu-latest,macos-latest,windows-latest"
nmap,nmap,networking,C++,Network security scanner,ci.yml,"ubuntu-latest,macos-latest"
wireshark,wireshark,networking,C,Network protocol analyzer,build.yml,"ubuntu-latest,macos-latest,windows-latest"
qemu,qemu,virtualization,C,QEMU generic machine emulator and virtualizer,build-test.yml,"ubuntu-latest,macos-latest"
firecracker-microvm,firecracker,virtualization,Rust,Secure and fast microVMs,ci.yml,"ubuntu-latest"
zfogg,ascii-chat,other,C,Video chat in your terminal,ci.yml,"ubuntu-latest,macos-latest"
jqlang,jq,other,C,Command-line JSON processor,ci.yml,"ubuntu-latest,macos-latest,windows-latest"
tmux,tmux,other,C,Terminal multiplexer,ci.yml,"ubuntu-latest,macos-latest"
koalaman,shellcheck,other,Haskell,Shell script static analysis tool,build.yml,"ubuntu-latest,macos-latest,windows-latest"
protocolbuffers,protobuf,other,C++,Protocol Buffers language-neutral data serialization,ci.yml,"ubuntu-latest,macos-latest,windows-latest"
grpc,grpc,other,C++,High performance RPC framework,ci.yml,"ubuntu-latest,macos-latest,windows-latest"